accepted_plant_name_id,taxon_name,taxon_authors,cultivation.lin2019,life.form.integrated,WorldCuP.n.tdwg3,nat.extent,nat.incidence,native.global.tdwg3,planting.China.tdwg3
466035,Castanopsis hsiensiui,J.Q.Li & Li Chen,no,woody,0,0,0,1,0
35208,Castanopsis hupehensis,C.S.Chao,yes,woody,0,0,0,2,2
35214,Castanopsis indica,(Roxb. ex Lindl.) A.DC.,yes,woody,3,0,0,13,4
35218,Castanopsis jianfenglingensis,Duanmu,yes,woody,0,0,0,1,1
35220,Castanopsis jucunda,Hance,yes,woody,0,0,0,2,3
35222,Castanopsis kawakamii,Hayata,yes,woody,0,0,0,3,2
35227,Castanopsis kweichowensis,Hu,no,woody,0,0,0,2,0
35228,Castanopsis lamontii,Hance,yes,woody,0,0,0,3,2
466036,Castanopsis semifabri,X.M.Chen & B.P.Yu,no,woody,0,0,0,1,0
35242,Castanopsis longispina,(King ex Hook.f.) C.C.Huang & Y.T.Zhang,no,woody,0,0,0,2,0
458232,Lithocarpus longzhouicus,(C.C.Huang & Y.T.Chang) J.Q.Li & Li Chen,no,woody,0,0,0,1,0
35253,Castanopsis mekongensis,A.Camus,yes,woody,0,0,0,3,1
35267,Castanopsis oblonga,Y.C.Hsu & H.Wei Jen,no,woody,0,0,0,1,0
35272,Castanopsis orthacantha,Franch.,yes,woody,1,0,0,1,2
35273,Castanopsis ouonbiensis,Hickel & A.Camus,no,woody,0,0,0,2,0
35285,Castanopsis platyacantha,Rehder & E.H.Wilson,yes,woody,0,0,0,1,1
35296,Castanopsis remotidenticulata,Hu,no,woody,0,0,0,1,0
35301,Castanopsis rockii,A.Camus,yes,woody,0,0,0,4,1
35305,Castanopsis rufotomentosa,Hu,no,woody,0,0,0,1,0
35308,Castanopsis sclerophylla,(Lindl. & Paxton) Schottky,yes,woody,2,0,0,2,2
35332,Castanopsis tcheponensis,Hickel & A.Camus,yes,woody,0,0,0,4,1
35335,Castanopsis tessellata,Hickel & A.Camus,no,woody,0,0,0,3,0
35337,Castanopsis tibetana,Hance,yes,woody,0,0,0,3,3
35338,Castanopsis tonkinensis,Seemen,yes,woody,0,0,0,4,1
35342,Castanopsis tribuloides,(Sm.) A.DC.,yes,woody,0,0,0,11,2
114836,Lithocarpus uraianus,(Hayata) Hayata,yes,woody,0,0,0,2,3
35359,Castanopsis wattii,(King ex Hook.f.) A.Camus,yes,woody,0,0,0,4,1
